reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;04;2023-07-10;18;9;3;0;0;0;18516.0;0.1;0.0;0.0;0.0;0.0;0.0
01;11;2023-07-10;178;151;20;0;1;0;8800.0;2.0;1.7;0.2;0.0;0.0;0.0
01;17;2023-07-10;8559;8118;1618;41;69;1;29902.0;28.6;27.1;5.4;0.1;0.2;0.0
01;24;2023-07-10;13602;12645;6310;124;345;1;28894.0;47.1;43.8;21.8;0.4;1.2;0.0
01;29;2023-07-10;7108;6696;3439;91;59;2;16428.0;43.3;40.8;20.9;0.6;0.4;0.0
01;39;2023-07-10;17564;16802;9412;278;183;7;36227.0;48.5;46.4;26.0;0.8;0.5;0.0
01;49;2023-07-10;22573;21740;13278;443;280;12;44530.0;50.7;48.8;29.8;1.0;0.6;0.0
01;59;2023-07-10;29226;28259;18505;1166;666;85;60088.0;48.6;47.0;30.8;1.9;1.1;0.1
01;09;2023-07-10;118;86;5;0;2;0;20498.0;0.6;0.4;0.0;0.0;0.0;0.0
01;64;2023-07-10;13693;13270;9139;1428;524;182;28059.0;48.8;47.3;32.6;5.1;1.9;0.6
01;69;2023-07-10;12613;12310;9087;1741;650;209;24664.0;51.1;49.9;36.8;7.1;2.6;0.8
01;74;2023-07-10;10826;10564;7705;1489;551;219;20230.0;53.5;52.2;38.1;7.4;2.7;1.1
01;79;2023-07-10;7635;7411;5341;1115;419;156;14863.0;51.4;49.9;35.9;7.5;2.8;1.0
01;80;2023-07-10;8476;8086;5190;1017;354;147;21240.0;39.9;38.1;24.4;4.8;1.7;0.7
02;04;2023-07-10;17;8;8;0;0;0;15725.0;0.1;0.1;0.1;0.0;0.0;0.0
02;11;2023-07-10;210;190;9;0;0;0;7509.0;2.8;2.5;0.1;0.0;0.0;0.0
02;17;2023-07-10;7934;7571;1419;22;34;0;25105.0;31.6;30.2;5.7;0.1;0.1;0.0
02;24;2023-07-10;12214;11364;5519;98;120;2;25613.0;47.7;44.4;21.5;0.4;0.5;0.0
02;29;2023-07-10;6906;6514;3332;99;63;2;14946.0;46.2;43.6;22.3;0.7;0.4;0.0
02;39;2023-07-10;17605;16862;9655;312;195;5;34226.0;51.4;49.3;28.2;0.9;0.6;0.0
02;49;2023-07-10;20521;19820;12706;428;277;27;38563.0;53.2;51.4;32.9;1.1;0.7;0.1
