reg;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;1;2023-07-10;67863;65015;39437;4399;2057;554;40.0;38.4;23.3;2.6;1.2;0.3
01;2;2023-07-10;84215;81045;49608;4532;2046;467;41.4;39.8;24.4;2.2;1.0;0.2
02;1;2023-07-10;67514;65019;41151;4351;1749;545;42.4;40.8;25.8;2.7;1.1;0.3
02;2;2023-07-10;82938;80293;51718;4692;1830;509;43.4;42.0;27.1;2.5;1.0;0.3
03;1;2023-07-10;50507;45087;23069;1929;815;192;35.6;31.8;16.3;1.4;0.6;0.1
03;2;2023-07-10;48346;44221;23175;1634;784;121;31.7;29.0;15.2;1.1;0.5;0.1
04;1;2023-07-10;275753;269428;173352;15994;5222;1916;67.1;65.5;42.2;3.9;1.3;0.5
04;2;2023-07-10;304635;298773;198465;15466;5048;1514;66.6;65.3;43.4;3.4;1.1;0.3
06;1;2023-07-10;71496;60460;22671;1095;836;57;50.1;42.4;15.9;0.8;0.6;0.0
06;2;2023-07-10;90108;78764;28759;947;1104;31;57.5;50.3;18.4;0.6;0.7;0.0
07;1;2023-07-10;5176;5025;3499;254;77;30;96.3;93.5;65.1;4.7;1.4;0.6
07;2;2023-07-10;3784;3673;2529;200;61;19;79.7;77.4;53.3;4.2;1.3;0.4
08;1;2023-07-10;6987;6565;3378;402;175;60;43.2;40.6;20.9;2.5;1.1;0.4
08;2;2023-07-10;7655;7285;3509;323;186;46;42.8;40.7;19.6;1.8;1.0;0.3
11;1;2023-07-10;4549905;4493513;3308685;721946;475753;177959;76.1;75.1;55.3;12.1;8.0;3.0
11;2;2023-07-10;4841534;4788332;3632431;862913;559111;213677;75.5;74.7;56.6;13.5;8.7;3.3
24;1;2023-07-10;1002350;991604;784566;217111;130041;54482;80.6;79.7;63.1;17.5;10.5;4.4
24;2;2023-07-10;1078194;1068584;876986;262579;154726;65462;81.6;80.9;66.4;19.9;11.7;5.0
