reg;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
01;1;2023-07-10;125067;116204;75515;6131;121122;79802;6254;0;107
01;2;2023-07-10;21926;19940;7739;165;21184;8402;248;0;6
01;3;2023-07-10;3869;2415;1;0;2505;0;0;0;0
01;4;2023-07-10;335;15;6;0;341;11;3;0;0
01;5;2023-07-10;169;124;14;0;132;17;0;0;0
01;6;2023-07-10;419;239;32;23;351;54;25;0;0
01;8;2023-07-10;383;614;611;2288;498;739;2354;4013;895
01;9;2023-07-10;16;14;19;48;12;25;48;88;13
01;10;2023-07-10;5;2;0;1;2;0;1;0;0
01;12;2023-07-10;0;0;2;0;0;2;0;2;0
02;1;2023-07-10;144521;135768;86958;6343;140244;90992;6828;0;149
02;2;2023-07-10;1035;949;1194;21;971;1304;32;0;0
02;3;2023-07-10;2198;1385;1;0;1420;0;0;0;0
02;4;2023-07-10;2279;158;22;0;2273;163;12;0;0
02;5;2023-07-10;226;171;6;0;193;6;0;0;0
02;6;2023-07-10;375;242;4;0;298;12;0;0;0
02;8;2023-07-10;181;230;364;2155;153;453;2164;3561;899
02;9;2023-07-10;5;5;1;14;6;2;10;18;6
02;10;2023-07-10;4;2;1;2;2;1;2;0;0
02;12;2023-07-10;0;0;1;0;0;1;0;2;1
03;1;2023-07-10;98092;82625;40767;2188;88488;45097;2607;0;73
03;2;2023-07-10;661;645;712;7;642;803;17;0;1
03;3;2023-07-10;199;102;0;0;108;0;0;0;0
03;4;2023-07-10;181;9;9;0;179;17;1;0;0
03;5;2023-07-10;606;462;2;0;507;1;0;0;0
03;6;2023-07-10;397;223;4;0;344;32;0;0;0
03;8;2023-07-10;216;254;368;876;218;406;927;1583;238
03;9;2023-07-10;2;2;1;12;3;1;11;13;1
03;10;2023-07-10;4;3;1;2;3;1;2;0;0
03;12;2023-07-10;1;1;6;1;1;3;4;8;0
04;1;2023-07-10;558374;548003;355564;22983;546884;367421;25501;0;769
04;2;2023-07-10;1922;1888;2298;28;1876;2547;65;0;0
04;3;2023-07-10;693;327;0;0;366;3;0;0;0
04;4;2023-07-10;17171;171;30;1;17172;152;25;0;1
04;5;2023-07-10;1531;1152;24;1;1227;29;0;0;0
04;6;2023-07-10;714;487;18;22;635;41;24;0;21
